==============================================================================
==============================================================================
Fri. Jul. 18 2014                  LANDSAT 1                       Time: 18:14
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101407172653_00681                          Path / Row - 36 / 32
Reference Image: L11XXX1173191170101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 72.9%
Rank   2 -- 27.1%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360322045   40.63074   -105.80691     0.42     -0.07     0.43     1 
0360322046   40.63101   -105.76718     0.31     -0.10     0.32     1 
0360322048   40.63151   -105.68773     0.00     -0.39     0.39     1 
0360322049   40.63174   -105.64800     0.06      0.21     0.21     1 
0360322050   40.63196   -105.60827     0.42     -0.23     0.48     1 
0360322053   40.63252   -105.48908     0.29     -0.20     0.35     1 
0360322054   40.63269   -105.44935     0.58     -0.15     0.60     2 
0360322055   40.63283   -105.40962     0.61     -0.35     0.70     2 
0360322056   40.63297   -105.36989     0.59     -0.15     0.61     2 
0360322059   40.63329   -105.25069     0.44     -0.25     0.50     2 
0360322060   40.63337   -105.21096     0.34     -0.17     0.37     1 
0360322110   40.60134   -106.20368     0.13     -0.62     0.64     2 
0360322114   40.60289   -106.04486     0.71     -0.35     0.79     2 
0360322116   40.60358   -105.96544     0.43      0.09     0.44     1 
0360322118   40.60422   -105.88602     0.04     -0.03     0.05     1 
0360322121   40.60507   -105.76689     0.40     -0.31     0.50     2 
0360322122   40.60533   -105.72717     0.02     -0.09     0.09     1 
0360322123   40.60557   -105.68746     0.01     -0.27     0.27     1 
0360322124   40.60580   -105.64775     0.26     -0.19     0.32     1 
0360322125   40.60601   -105.60803     0.42     -0.16     0.45     1 
0360322126   40.60622   -105.56832     0.56     -0.32     0.65     2 
0360322127   40.60641   -105.52860     0.60     -0.12     0.61     2 
0360322128   40.60658   -105.48889     0.39     -0.20     0.44     1 
0360322129   40.60674   -105.44917     0.45     -0.26     0.52     2 
0360322131   40.60702   -105.36974     0.73     -0.12     0.74     2 
0360322132   40.60714   -105.33003     0.61     -0.21     0.65     2 
0360322133   40.60725   -105.29031     0.56     -0.35     0.67     2 
0360322134   40.60734   -105.25060     0.43     -0.21     0.48     1 
0360322135   40.60742   -105.21088     0.25     -0.18     0.31     1 
0360322143   40.60757   -104.89314     0.13     -0.08     0.15     1 
0360322144   40.60752   -104.85343     0.03     -0.33     0.34     1 
0360322188   40.57658   -106.08414     0.55     -0.20     0.59     2 
0360322189   40.57695   -106.04445     0.67     -0.44     0.80     2 
0360322191   40.57764   -105.96507     0.26     -0.26     0.36     1 
0360322193   40.57827   -105.88568     0.07     -0.19     0.20     1 
0360322195   40.57885   -105.80629     0.46     -0.18     0.49     1 
0360322196   40.57912   -105.76659     0.18     -0.57     0.60     2 
0360322197   40.57938   -105.72689     0.08     -0.38     0.39     1 
0360322198   40.57963   -105.68720    -0.17     -0.10     0.20     1 
0360322201   40.58027   -105.56810     0.45     -0.11     0.46     1 
0360322202   40.58046   -105.52840     0.71     -0.21     0.74     2 
0360322203   40.58064   -105.48870     0.56     -0.29     0.63     2 
0360322204   40.58080   -105.44900     0.53     -0.28     0.60     2 
0360322205   40.58094   -105.40930     0.69     -0.19     0.71     2 
0360322206   40.58108   -105.36960     0.64     -0.18     0.67     2 
0360322207   40.58120   -105.32990     0.42     -0.08     0.43     1 
0360322208   40.58130   -105.29020     0.41     -0.17     0.44     1 
0360322209   40.58140   -105.25050     0.35     -0.22     0.41     1 
0360322210   40.58148   -105.21080     0.37     -0.22     0.43     1 
0360322258   40.54861   -106.28210     0.48      0.06     0.49     1 
0360322262   40.55026   -106.12340     0.19     -0.41     0.45     1 
0360322264   40.55101   -106.04405     0.54     -0.44     0.70     2 
0360322265   40.55136   -106.00437     0.57     -0.48     0.75     2 
0360322266   40.55170   -105.96469     0.57     -0.43     0.72     2 
0360322267   40.55202   -105.92501    -0.05     -0.02     0.05     1 
0360322268   40.55233   -105.88533    -0.07     -0.14     0.16     1 
0360322269   40.55263   -105.84565    -0.08     -0.29     0.30     1 
0360322270   40.55291   -105.80598     0.01     -0.36     0.36     1 
0360322272   40.55344   -105.72661     0.01     -0.65     0.65     2 
0360322274   40.55391   -105.64725    -0.51     -0.06     0.51     2 
0360322275   40.55412   -105.60756     0.20     -0.15     0.25     1 
0360322277   40.55452   -105.52820     0.19     -0.09     0.21     1 
0360322278   40.55469   -105.48851     0.70     -0.28     0.76     2 
0360322279   40.55485   -105.44883     0.42     -0.28     0.51     2 
0360322280   40.55500   -105.40914     0.39     -0.17     0.42     1 
0360322281   40.55513   -105.36946     0.58     -0.23     0.62     2 
0360322282   40.55525   -105.32977     0.61     -0.24     0.65     2 
0360322283   40.55536   -105.29009     0.46     -0.15     0.49     1 
0360322284   40.55545   -105.25040     0.60     -0.49     0.77     2 
0360322285   40.55553   -105.21071     0.31     -0.04     0.31     1 
0360322333   40.52267   -106.28160     0.19     -0.32     0.37     1 
0360322339   40.52506   -106.04365     0.39     -0.42     0.57     2 
0360322340   40.52542   -106.00398     0.63     -0.40     0.75     2 
0360322342   40.52608   -105.92466     0.03     -0.08     0.09     1 
0360322343   40.52639   -105.88499    -0.25     -0.22     0.33     1 
0360322344   40.52669   -105.84533     0.15     -0.50     0.52     2 
0360322345   40.52697   -105.80566     0.07     -0.49     0.49     1 
0360322346   40.52724   -105.76600     0.10     -0.62     0.63     2 
0360322347   40.52749   -105.72633     0.15     -0.61     0.63     2 
0360322348   40.52774   -105.68667     0.59     -0.36     0.69     2 
0360322349   40.52797   -105.64700    -0.05     -0.09     0.10     1 
0360322350   40.52818   -105.60733    -0.31     -0.33     0.45     1 
0360322351   40.52838   -105.56766     0.09      0.15     0.18     1 
0360322352   40.52857   -105.52799    -0.13      0.06     0.15     1 
0360322355   40.52905   -105.40899     0.38     -0.44     0.59     2 
0360322356   40.52919   -105.36932     0.39     -0.23     0.45     1 
0360322357   40.52931   -105.32965     0.37     -0.05     0.38     1 
0360322358   40.52941   -105.28997     0.19     -0.11     0.22     1 
0360322359   40.52951   -105.25030     0.26     -0.09     0.27     1 
0360322360   40.52958   -105.21063     0.24      0.00     0.24     1 
0360322370   40.52963   -104.81392     0.03     -0.36     0.36     1 
0360322416   40.49981   -105.96395     0.19     -0.42     0.46     1 
0360322417   40.50014   -105.92430     0.02     -0.33     0.33     1 
0360322418   40.50044   -105.88465     0.26     -0.32     0.41     1 
0360322419   40.50074   -105.84500     0.09     -0.41     0.42     1 
0360322420   40.50102   -105.80535    -0.11     -0.50     0.52     2 
0360322421   40.50129   -105.76570     0.08     -0.60     0.61     2 
0360322422   40.50155   -105.72605     0.14     -0.41     0.44     1 
0360322423   40.50179   -105.68640    -0.06     -0.52     0.52     2 
0360322425   40.50224   -105.60710    -0.02     -0.23     0.23     1 
0360322427   40.50263   -105.52779     0.04      0.05     0.07     1 
0360322430   40.50311   -105.40883     0.40     -0.60     0.72     2 
0360322431   40.50324   -105.36917     0.34     -0.41     0.54     2 
0360322432   40.50336   -105.32952     0.32     -0.12     0.34     1 
0360322433   40.50347   -105.28986     0.12     -0.02     0.12     1 
0360322487   40.47244   -106.12210     0.63     -0.30     0.70     2 
0360322488   40.47282   -106.08247     0.35     -0.37     0.51     2 
0360322489   40.47318   -106.04284     0.30     -0.48     0.57     2 
0360322492   40.47419   -105.92395     0.29     -0.22     0.37     1 
0360322494   40.47480   -105.84468    -0.09     -0.49     0.50     2 
0360322495   40.47508   -105.80504    -0.20     -0.63     0.66     2 
0360322496   40.47535   -105.76541    -0.15     -0.68     0.70     2 
0360322497   40.47561   -105.72577     0.25     -0.47     0.53     2 
0360322501   40.47649   -105.56722    -0.30      0.59     0.66     2 
0360322504   40.47702   -105.44831     0.20     -0.60     0.63     2 
0360322505   40.47716   -105.40867     0.21     -0.44     0.49     1 
0360322509   40.47762   -105.25011     0.09     -0.05     0.11     1 
0360322511   40.47776   -105.17083     0.35      0.05     0.35     1 
0360322522   40.47758   -104.73479     0.01     -0.41     0.41     1 
0360322563   40.44687   -106.08206     0.55     -0.39     0.67     2 
0360322564   40.44724   -106.04244     0.23     -0.34     0.41     1 
